num_urls,max_url_length,has_ip_in_url,has_suspicious_tld,many_subdomains,has_at_symbol,has_dash_in_domain,has_hex_string,sender_is_free_provider,sender_domain_length,sender_has_numbers,sender_has_dash,urgent_word_count,exclamation_count,uppercase_ratio,text_length,label
1,45,0,0,0,0,0,0,0,13,0,0,0,0,0.07575757575757576,168,1
1,25,0,0,0,0,0,0,0,25,0,0,1,1,0.05952380952380952,321,1
0,0,0,0,0,0,0,0,0,14,0,0,1,0,0.14285714285714285,601,1
24,123,0,0,0,1,0,1,0,9,0,1,1,1,0.2653654485049834,3923,1
6,140,0,0,0,1,0,1,0,22,0,0,1,2,0.13131868131868132,2879,0
1,24,0,0,0,0,0,0,0,11,0,0,0,0,0.020618556701030927,136,1
1,25,0,0,0,0,0,0,0,18,0,0,0,0,0.060810810810810814,190,1
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.05214723926380368,1770,0
3,83,0,0,0,0,0,1,0,15,0,0,1,0,0.07311411992263056,3853,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.014925373134328358,79,1
2,26,0,0,0,0,0,0,0,0,0,0,0,0,0.025806451612903226,207,1
1,51,0,0,0,0,0,0,0,17,0,0,0,0,0.08396946564885496,170,1
1,20,0,0,0,0,0,0,0,15,0,0,0,1,0.06397306397306397,386,1
1,25,0,0,0,0,0,0,0,11,0,0,0,1,0.028985507246376812,277,1
0,0,0,0,0,0,0,0,0,13,0,0,0,3,0.15384615384615385,204,1
0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.02390438247011952,335,1
1,20,0,0,0,0,0,0,0,21,0,1,0,2,0.02,127,1
3,52,0,0,0,0,0,0,0,10,0,0,0,0,0.10240963855421686,683,0
24,113,0,0,0,1,0,1,0,26,0,0,0,0,0.26302831350020517,3919,1
1,58,0,0,0,0,0,0,0,21,0,0,1,2,0.07716049382716049,1172,0
2,119,0,0,0,1,1,1,0,19,0,1,0,3,0.11095505617977527,1070,0
1,136,0,0,0,0,0,0,0,15,0,0,0,0,0.26344086021505375,218,1
1,20,0,0,0,0,0,0,0,8,0,0,0,2,0.023529411764705882,322,1
1,20,0,0,0,0,0,0,0,12,0,0,0,2,0.019138755980861243,265,1
24,123,0,0,0,1,0,1,0,8,0,0,1,1,0.26591760299625467,3900,1
0,0,0,0,0,0,0,0,1,9,0,0,0,0,0.07125,2843,0
1,23,0,0,0,0,0,0,0,14,0,0,0,0,0.11949685534591195,208,1
24,123,0,0,0,1,0,1,0,8,1,0,1,1,0.26591760299625467,3899,1
1,20,0,0,0,0,0,0,0,15,0,0,0,2,0.0547945205479452,472,1
2,71,0,0,0,0,0,1,0,16,0,0,0,0,0.10044977511244378,1023,0
3,37,0,0,0,0,1,0,0,8,0,0,1,0,0.09126466753585398,987,0
1,32,0,0,0,0,0,0,0,12,0,0,0,0,0.08761904761904762,766,0
7,30,0,0,0,0,0,0,0,6,0,0,4,5,0.0687423388085315,27699,0
0,0,0,0,0,0,0,0,0,12,0,0,0,3,0.14285714285714285,124,1
5,45,0,0,0,0,0,0,0,18,0,0,2,3,0.06958918267160451,16410,0
6,109,0,0,0,0,0,1,0,22,0,0,1,0,0.09692730452160879,6005,0
1,28,0,0,0,0,0,0,0,14,0,0,0,0,0.029166666666666667,290,1
0,0,0,0,0,0,0,0,0,11,0,0,1,0,0.1635282457879088,1537,0
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.03278688524590164,357,1
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.15040650406504066,715,0
1,23,0,0,0,0,0,0,0,11,0,0,0,1,0.034722222222222224,190,1
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0.11956521739130435,132,0
1,27,0,0,0,0,0,0,0,12,0,0,0,0,0.06526315789473684,669,0
0,0,0,0,0,0,0,0,0,18,0,0,0,1,0.0881057268722467,284,1
1,109,0,0,0,0,0,1,1,9,0,0,0,0,0.0695517774343122,862,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.03347280334728033,354,1
2,74,0,0,0,0,0,0,1,9,0,0,0,0,0.053156146179401995,946,0
1,58,0,0,0,0,0,0,0,21,0,0,2,8,0.036677454153182305,1907,0
1,62,0,0,0,0,0,0,0,16,0,0,2,0,0.10154346060113728,3315,0
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0.022727272727272728,114,1
1,30,0,0,0,0,0,0,0,18,0,0,0,0,0.014285714285714285,184,1
1,28,0,0,0,0,0,0,0,13,0,1,0,0,0.024390243902439025,112,1
1,25,0,0,0,0,0,0,0,12,0,0,0,0,0.11920529801324503,203,1
2,74,0,0,0,0,0,0,0,8,0,0,0,2,0.06514657980456026,462,0
1,136,0,0,0,0,0,0,0,11,0,1,0,0,0.21666666666666667,211,1
1,20,0,0,0,0,0,0,0,9,0,0,0,4,0.03018867924528302,348,1
3,54,0,0,0,0,0,1,0,14,0,0,1,0,0.08662280701754387,2509,0
0,0,0,0,0,0,0,0,0,7,0,0,1,4,0.04057854560064283,6152,1
1,22,0,0,0,0,0,0,0,7,0,0,0,6,0.0326975476839237,480,1
1,25,0,0,0,0,0,0,0,11,0,0,0,0,0.06962025316455696,200,1
0,0,0,0,0,0,0,0,0,8,0,0,0,2,0.13008130081300814,850,1
2,48,0,0,0,0,0,0,0,12,0,0,2,0,0.13789398280802292,3924,0
1,19,0,0,0,0,0,0,0,12,0,0,0,3,0.03056768558951965,286,1
24,114,0,0,0,1,0,1,0,13,0,0,0,0,0.2679307502061006,3939,1
1,24,0,0,0,0,0,0,0,0,0,0,0,0,0.01904761904761905,125,1
0,0,0,0,0,0,0,0,0,7,0,0,1,0,0.13449023861171366,635,1
0,0,0,0,0,0,0,0,0,10,0,0,0,4,0.0625,64,1
1,19,0,0,0,0,0,0,1,9,0,0,0,0,0.07534246575342465,598,0
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0.015625,157,1
0,0,0,0,0,0,0,0,0,12,0,0,0,1,0.03167420814479638,270,1
2,37,0,0,0,0,0,0,0,8,0,0,0,1,0.05033959248901319,3236,0
1,32,0,0,0,0,0,0,0,19,0,1,0,0,0.018867924528301886,137,1
24,114,0,0,0,1,0,1,0,18,0,1,0,0,0.2689284236657013,3912,1
1,25,0,0,0,0,0,0,0,13,0,0,0,1,0.10614525139664804,246,1
0,0,0,0,0,0,0,0,0,9,0,0,0,1,0.03944315545243619,589,0
1,53,0,0,0,0,0,0,0,9,0,0,0,0,0.03917910447761194,2887,0
0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.05612244897959184,253,1
0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.06306306306306306,482,0
1,20,0,0,0,0,0,0,0,13,0,1,0,0,0.046153846153846156,1133,0
0,0,0,0,0,0,0,0,0,8,0,0,0,1,0.04054054054054054,384,1
3,74,0,0,0,0,0,0,0,13,0,0,0,0,0.053742802303262956,2234,0
2,61,0,0,0,0,0,0,0,29,0,0,0,0,0.11387900355871886,390,0
24,123,0,0,0,1,0,1,0,12,0,0,1,1,0.26591760299625467,3900,1
1,19,0,0,0,0,0,0,0,23,0,0,0,0,0.06324110671936758,329,1
24,113,0,0,0,1,0,1,0,12,0,0,0,0,0.26302831350020517,3919,1
1,23,0,0,0,0,0,0,0,15,0,1,0,0,0.01904761904761905,134,1
1,50,0,0,0,0,0,0,0,10,0,0,0,0,0.06493506493506493,193,1
0,0,0,0,0,0,0,0,0,22,0,0,0,0,0.0539714867617108,1352,0
0,0,0,0,0,0,0,0,1,9,0,0,0,1,0.03443396226415094,3202,0
1,29,0,0,0,0,0,0,1,9,0,0,1,0,0.0825346112886049,3300,0
1,19,0,0,0,0,0,0,0,7,0,0,0,2,0.08391608391608392,205,1
1,58,0,0,0,0,0,0,0,17,0,0,0,0,0.046413502109704644,472,0
1,21,0,0,0,0,0,0,0,8,0,0,0,1,0.05660377358490566,276,1
1,23,0,0,0,0,0,0,0,12,1,0,0,0,0.08823529411764706,90,1
1,21,0,0,0,0,0,0,0,16,0,0,0,3,0.06896551724137931,295,1
5,203,0,0,0,0,0,1,0,14,0,0,3,1,0.12422360248447205,1888,0
1,31,0,0,0,0,0,0,0,13,0,0,1,0,0.09764309764309764,2822,0
1,28,0,0,0,0,0,0,0,9,0,0,0,1,0.024193548387096774,326,1
1,40,0,0,0,0,0,1,0,11,0,0,0,0,0.07453416149068323,227,1
0,0,0,0,0,0,0,0,0,11,0,0,0,1,0.05970149253731343,195,1
1,25,0,0,0,0,0,0,0,14,0,0,0,1,0.072,169,1
0,0,0,0,0,0,0,0,0,13,0,0,1,0,0.14617169373549885,598,1
5,74,0,0,0,0,0,0,0,13,0,0,0,0,0.0480225988700565,3370,0
0,0,0,0,0,0,0,0,0,7,0,0,0,2,0.06584362139917696,294,1
1,29,0,0,0,0,0,0,0,15,0,0,0,0,0.11194029850746269,193,1
1,25,0,0,0,0,0,0,0,17,0,0,0,0,0.053691275167785234,191,1
0,0,0,0,0,0,0,0,0,13,0,0,0,2,0.07216494845360824,131,1
